work_local,position_link,position_type,position_name,publish_times,position_number
深圳,position_detail.php?id=39256&keywords=&tid=0&lid=0,市场类,24549-销售市场经理,2018-04-16,1
成都,position_detail.php?id=39252&keywords=&tid=0&lid=0,产品/项目类,15575-王者荣耀社交数据分析方向产品经理（成都）,2018-04-16,1
广州,position_detail.php?id=39254&keywords=&tid=0&lid=0,产品/项目类,MIG08-产品经理,2018-04-16,1
深圳,position_detail.php?id=39257&keywords=&tid=0&lid=0,设计类,15570-3D场景设计师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39248&keywords=&tid=0&lid=0,技术类,25926-用户画像大数据分析工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39251&keywords=&tid=0&lid=0,技术类,TEG09-接入业务后台开发工程师（深圳）,2018-04-16,5
广州,position_detail.php?id=39253&keywords=&tid=0&lid=0,产品/项目类,MIG08-产品经理,2018-04-16,1
广州,position_detail.php?id=39255&keywords=&tid=0&lid=0,市场类,24549-销售市场经理,2018-04-16,1
深圳,position_detail.php?id=39247&keywords=&tid=0&lid=0,技术类,25926-数据分析工程师（深圳）,2018-04-16,1
上海,position_detail.php?id=39249&keywords=&tid=0&lid=0,职能类,23677-互娱服务采购经理（上海）,2018-04-16,1
深圳,position_detail.php?id=39250&keywords=&tid=0&lid=0,技术类,18797-IOS客户端开发工程师（深圳）,2018-04-16,1
北京,position_detail.php?id=39242&keywords=&tid=0&lid=0,市场类,23295-互娱高级活动经理（北京）,2018-04-16,1
深圳,position_detail.php?id=39245&keywords=&tid=0&lid=0,技术类,SNG11-知识图谱AI研发工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39233&keywords=&tid=0&lid=0,设计类,22090-交互设计师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39237&keywords=&tid=0&lid=0,产品/项目类,18428-支付平台产品运营经理(深圳),2018-04-16,1
上海,position_detail.php?id=39239&keywords=&tid=0&lid=0,内容编辑类,21530-腾讯音乐导演助理（上海）,2018-04-16,1
深圳,position_detail.php?id=39244&keywords=&tid=0&lid=0,技术类,MIG09-手机QQ浏览器云服务后台开发工程师(深圳),2018-04-16,1
深圳,position_detail.php?id=39246&keywords=&tid=0&lid=0,技术类,25926-自然语言处理算法工程师（深圳）,2018-04-16,1
北京,position_detail.php?id=39236&keywords=&tid=0&lid=0,技术类,26381-技术架构师（深圳）,2018-04-16,1
美国,position_detail.php?id=39238&keywords=&tid=0&lid=0,职能类,ZSC-IP Engineer(Palo Alto),2018-04-16,1
深圳,position_detail.php?id=39227&keywords=&tid=0&lid=0,产品/项目类,25926-游戏安全产品策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=39230&keywords=&tid=0&lid=0,技术类,MIG03-AI评价优化高级工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39232&keywords=&tid=0&lid=0,产品/项目类,18425-E证通产品策划经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39219&keywords=&tid=0&lid=0,产品/项目类,21087-移动游戏运营策划（深圳）,2018-04-16,1
深圳,position_detail.php?id=39222&keywords=&tid=0&lid=0,技术类,15579-移动游戏客户端开发工程师（深圳）,2018-04-16,5
深圳,position_detail.php?id=39229&keywords=&tid=0&lid=0,技术类,25926-后台开发工程师（深圳）,2018-04-16,1
北京,position_detail.php?id=39231&keywords=&tid=0&lid=0,内容编辑类,22851-腾讯视频综艺频道会员运营（北京）,2018-04-16,1
深圳,position_detail.php?id=39234&keywords=&tid=0&lid=0,产品/项目类,WXG06-212 微信境外支付产品策划经理（深圳）,2018-04-16,1
